region_id,station_id,station_name,parameter,date,value,unit,lat,lon,source
delhi_ncr,5613,"ITO, New Delhi - CPCB",co,2025-11-01,1.63,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",co,2025-11-02,1.59,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",co,2025-11-03,1.69,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",co,2025-11-04,1.66,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",co,2025-11-05,1.35,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",co,2025-11-06,1.4,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",co,2025-11-07,1.78,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",co,2025-11-08,1.9,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",co,2025-11-09,1.62,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",co,2025-11-10,2.27,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",co,2025-11-11,1.97,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",co,2025-11-12,2.25,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",co,2025-11-13,1.93,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",co,2025-11-14,1.71,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",co,2025-11-15,2.05,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-10-15,19.2,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-10-16,17.4,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-10-17,17.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-10-18,13.6,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-10-19,13.1,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-10-20,8.43,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-10-21,5.64,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-10-22,7.77,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-10-23,13.8,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-10-24,14.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-10-25,16.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-10-26,5.53,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-10-27,6.73,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-10-28,15.7,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-10-29,32.3,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-10-30,12.4,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-10-31,28.9,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-11-01,12.8,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-11-02,20.1,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-11-03,21.8,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-11-04,23.7,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-11-05,44.8,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-11-06,72.9,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-11-07,30.2,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-11-08,23.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-11-09,22.3,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-11-10,7.84,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-11-11,20.6,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-11-12,27.4,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-11-13,25.8,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-11-14,27.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",o3,2025-11-15,25.8,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-10-15,166.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-10-16,160.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-10-17,190.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-10-18,196.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-10-19,240.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-10-20,305.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-10-21,491.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-10-22,251.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-10-23,187.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-10-24,157.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-10-25,199.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-10-26,230.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-10-27,211.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-10-28,190.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-10-29,194.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-10-30,244.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-10-31,137.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-11-01,192.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-11-02,146.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-11-03,183.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-11-04,219.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-11-05,208.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-11-06,286.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-11-07,368.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-11-08,427.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-11-09,361.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-11-10,442.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-11-11,460.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-11-12,507.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-11-13,473.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-11-14,386.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",pm10,2025-11-15,404.0,µg/m³,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-10-15,85.9,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-10-16,81.8,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-10-17,76.2,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-10-18,71.6,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-10-19,75.6,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-10-20,77.2,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-10-21,75.1,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-10-22,76.8,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-10-23,78.1,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-10-24,85.1,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-10-25,90.5,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-10-26,102.0,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-10-27,82.0,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-10-28,76.1,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-10-29,78.2,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-10-30,60.0,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-10-31,26.1,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-11-01,41.8,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-11-02,42.5,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-11-03,43.8,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-11-04,57.2,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-11-05,45.8,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-11-06,33.8,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-11-07,42.6,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-11-08,56.2,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-11-09,44.1,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-11-10,76.5,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-11-11,69.1,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-11-12,60.6,ppb,,,OpenAQ
delhi_ncr,5613,"ITO, New Delhi - CPCB",no2,2025-11-13,57.9,ppb,,,OpenAQ
