hotspot_id,region_id,date,centroid_lat,centroid_lon,avg_estimated_aqi,max_estimated_aqi,severity,affected_cell_count
HS_delhi_ncr_2026-07-17_001,delhi_ncr,2026-07-17,28.55,77.1,207.9,209.1,Poor,2
HS_delhi_ncr_2026-07-17_002,delhi_ncr,2026-07-17,28.675,77.2,218.4,223.3,Poor,2
HS_delhi_ncr_2026-07-18_003,delhi_ncr,2026-07-18,28.625,77.325,201.2,201.2,Poor,1
HS_delhi_ncr_2026-07-18_004,delhi_ncr,2026-07-18,28.875,76.875,231.8,231.8,Poor,3
HS_delhi_ncr_2026-07-26_005,delhi_ncr,2026-07-26,28.8,77.5375,209.2,209.2,Poor,2
HS_delhi_ncr_2026-07-27_006,delhi_ncr,2026-07-27,28.85,77.175,210.6,210.7,Poor,2
HS_kanpur_industrial_2026-08-11_007,kanpur_industrial,2026-08-11,26.325,80.175,200.1,200.1,Poor,1
HS_punjab_stubble_belt_2026-07-30_008,punjab_stubble_belt,2026-07-30,31.525,74.975,215.2,215.2,Poor,1
